Valence,Year,Acousticness,Artists,Danceability,Duration,Energy,Explicit,Instrumentalness,Key,Liveness,Loudness,Mode,Name,Popularity,Speechiness,Tempo,Duration_minutes
0.354,2020,0.258,"Trippie Redd, Swae Lee",0.4,180022,0.6759999999999999,Explicit content,2.27e-05,11,0.32,-7.117999999999999,Minor,TR666 (feat. Swae Lee),66,0.0927,170.148,03:00
0.18100000000000002,2020,0.268,Joji,0.574,181772,0.604,No explicit content,2.98e-06,1,0.139,-9.933,Minor,777,73,0.0863,179.636,03:01
0.532,2020,0.0233,"Future, Lil Uzi Vert",0.851,167397,0.621,Explicit content,0.0,11,0.161,-6.678999999999999,Major,Sleeping On The Floor,73,0.36200000000000004,150.969,02:47
0.667,2020,0.00554,BANNERS,0.518,219813,0.9359999999999999,No explicit content,0.0,2,0.258,-3.685,Major,Someone To You,73,0.0447,75.002,03:39
0.46299999999999997,2020,0.00358,"jxdn, iann dior",0.501,135573,0.633,No explicit content,0.0,5,0.35100000000000003,-6.56,Major,Tonight (feat. iann dior),73,0.0466,165.02900000000002,02:15
0.455,2020,0.517,"A Boogie Wit da Hoodie, London On Da Track, Roddy Ricch, Gunna",0.8190000000000001,188563,0.654,Explicit content,0.0,11,0.0996,-6.665,Minor,"Numbers (feat. Roddy Ricch, Gunna and London On Da Track)",73,0.136,133.503,03:08
0.11599999999999999,2020,0.0187,"Future, Lil Uzi Vert",0.759,133171,0.52,Explicit content,0.0,2,0.313,-7.0420000000000025,Major,Marni On Me,73,0.447,123.189,02:13
0.6940000000000001,2020,0.11800000000000001,Cole Swindell,0.623,187684,0.79,No explicit content,0.0,7,0.226,-5.07,Major,Single Saturday Night,73,0.0473,81.949,03:07
0.523,2020,0.000532,Thomas Rhett,0.355,170373,0.706,No explicit content,0.0,5,0.264,-6.164,Major,What’s Your Country Song,73,0.0309,174.005,02:50
0.142,2020,0.0485,"Future, Lil Uzi Vert",0.773,193859,0.505,Explicit content,0.0,5,0.158,-5.716,Minor,Plastic,73,0.061,160.031,03:13
0.855,2020,0.619,"Eslabon Armado, T3R Elemento",0.514,194002,0.657,No explicit content,0.0,5,0.079,-7.7860000000000005,Major,Mi Vicio,72,0.0375,102.132,03:14
0.48700000000000004,2020,0.14800000000000002,"Jimmie Allen, Noah Cyrus",0.5489999999999999,205827,0.883,No explicit content,0.0,9,0.0609,-4.092,Major,This is Us,66,0.0344,145.06,03:25
0.8590000000000001,2020,0.0741,Bankrol Hayden,0.765,117133,0.8240000000000001,Explicit content,0.0,4,0.0651,-5.559,Minor,Rich Bitch,73,0.0873,176.005,01:57
0.294,2020,0.136,"Kevin Gates, Dermot Kennedy",0.46,192413,0.622,Explicit content,2.8800000000000002e-05,7,0.13,-6.8839999999999995,Major,Power,61,0.11199999999999999,124.67200000000001,03:12
0.608,2020,7.2e-05,Kip Moore,0.621,229493,0.858,No explicit content,5.63e-06,7,0.11599999999999999,-5.864,Major,She's Mine,65,0.0353,123.00399999999999,03:49
0.446,2020,0.0832,"Bad Bunny, Ñengo Flow",0.802,167975,0.787,Explicit content,0.0,7,0.153,-6.181,Minor,Que Malo,73,0.0599,94.02600000000001,02:47
0.701,2020,0.0104,YUNGBLUD,0.633,167365,0.93,No explicit content,0.0,9,0.0866,-3.262,Major,cotton candy,73,0.0748,124.041,02:47
0.434,2020,0.418,EyeMan,0.742,157571,0.629,No explicit content,0.0,9,0.102,-6.9570000000000025,Major,Pardonne Moi,64,0.064,95.944,02:37
0.7070000000000001,2020,0.11599999999999999,"Future, Lil Uzi Vert",0.8270000000000001,186847,0.723,No explicit content,0.0,5,0.21100000000000002,-5.28,Major,Bankroll,20,0.29,139.953,03:06
0.652,2020,0.0389,Lil Uzi Vert,0.504,261781,0.73,No explicit content,0.0,10,0.0649,-6.785,Major,Lullaby,20,0.451,160.299,04:21
0.534,2020,0.0041600000000000005,"Future, Lil Uzi Vert",0.621,243936,0.583,No explicit content,0.0,5,0.114,-5.642,Minor,I Don’t Wanna Break Up,20,0.23600000000000002,162.174,04:03
0.226,2020,0.0136,"Future, Lil Uzi Vert",0.8340000000000001,204117,0.605,No explicit content,0.0,11,0.307,-5.9670000000000005,Minor,She Never Been To Pluto,20,0.233,132.987,03:24
0.721,2020,0.0851,"Future, Lil Uzi Vert",0.8640000000000001,210175,0.705,No explicit content,1.97e-06,7,0.17600000000000002,-6.752999999999999,Minor,Bought A Bad Bitch,20,0.0671,136.00799999999998,03:30
0.204,2020,0.000103,"Bring Me The Horizon, YUNGBLUD",0.462,220539,0.99,Explicit content,0.0,1,0.374,-3.175,Minor,Obey (with YUNGBLUD),73,0.21100000000000002,137.061,03:40
0.253,2020,0.00863,Future,0.857,181040,0.515,No explicit content,0.0,2,0.301,-7.001,Major,Rockstar Chainz,20,0.273,143.025,03:01
0.802,2020,0.111,Remi Wolf,0.8220000000000001,265263,0.66,Explicit content,0.0,1,0.14300000000000002,-3.637,Major,Photo ID,73,0.0819,113.956,04:25
0.57,2020,0.013000000000000001,"Future, Lil Uzi Vert",0.895,184737,0.652,No explicit content,0.0,11,0.341,-7.646,Minor,Off Dat,20,0.289,151.92600000000004,03:04
0.603,2020,0.142,Kevin Gates,0.638,172310,0.561,No explicit content,0.0025800000000000003,10,0.0665,-3.7430000000000003,Minor,Weeks,21,0.353,108.99600000000001,02:52
0.147,2020,0.00275,"Future, Lil Uzi Vert",0.799,280666,0.591,No explicit content,0.0,1,0.162,-4.899,Major,Patek,21,0.0536,120.016,04:40
0.326,2020,0.0956,girl in red,0.575,216634,0.72,Explicit content,0.0587,4,0.18,-10.72,Minor,rue,73,0.0539,124.98700000000001,03:36
