mode,genres,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,duration,counts
1,nashville americana,0.67438,0.53325,206795.3,0.3422000000000001,7.1578e-05,0.09681000000000001,-9.8723,0.035664999999999995,124.8262,0.3876999999999999,58.25,2,03:26,2
1,nashville hip hop,0.14801660734149052,0.7738450500556173,240416.5609010011,0.6569327030033371,2.442902892102336e-05,0.15976409899888766,-5.736947330367073,0.18904857063403785,103.54714944382648,0.6164701334816464,52.309621802002226,11,04:00,1
1,nashville indie,0.34665166666666664,0.5674583333333334,212373.8125,0.6435,2.712416666666667e-05,0.23314166666666666,-6.729604166666667,0.04803125,132.1534375,0.4212916666666666,58.20833333333333,7,03:32,3
1,nashville singer-songwriter,0.502957905844156,0.4952852272727272,236765.90844155845,0.5082096103896103,0.006503512863636363,0.2056335227272728,-9.126052272727273,0.06572826298701301,122.65237678571422,0.3756612012987013,51.00551948051947,9,03:56,5
1,nashville sound,0.6355524636550373,0.5446309650422169,167830.1468473492,0.39935865601790654,0.06957747569231829,0.17238817750647092,-11.931104179247795,0.045580267140966996,115.53658438651314,0.5908261290458506,30.85808443688324,7,02:47,1
1,native american hip hop,0.135,0.6509999999999999,189531.0,0.8759999999999999,0.0,0.22399999999999998,-7.0329999999999995,0.35700000000000004,76.166,0.736,48.0,8,03:09,1
1,neo classical metal,0.07701032846504016,0.4115569650451889,304074.3688946855,0.8156677159587918,0.2728863388590478,0.2382278235405805,-7.958238893311709,0.06863424531918033,135.32112348455252,0.39654877092407936,43.367625000558434,9,05:04,1
1,neo mellow,0.3844574598672573,0.5406915969786726,231873.4659448645,0.5465389448567387,0.02887611651237936,0.16062425410731193,-8.346804279437446,0.048347312267192494,122.16923286692159,0.4479259061681337,52.95388011792162,0,03:51,102
0,neo r&b,0.3429492666666667,0.6505933333333335,269447.3633333333,0.5388500000000002,0.012714652899999998,0.18334833333333336,-9.585630000000002,0.18955566666666665,105.51514333333334,0.489542,46.41666666666666,11,04:29,3
1,neo soul,0.28938768823318545,0.6564879000811896,264500.78434264514,0.5474153596195749,0.010855547860488484,0.16744977542162118,-8.202191825378236,0.10021455289639684,113.00094081655509,0.527623687537789,47.56996170594458,11,04:24,61
1,neo-classical,0.7990216354723709,0.4174434173669465,233915.35859116376,0.2360459450598421,0.7333185371091168,0.13301567704354472,-19.43666022727273,0.060811473453017566,107.79813548192007,0.25681496785077684,51.3761236312707,1,03:53,21
0,neo-kraut,0.65,0.34,442573.0,0.489,0.523,0.11,-9.871,0.0489,140.359,0.628,0.0,6,07:22,1
1,neo-psychedelic,0.207887342026655,0.4832845499778785,261000.54119867735,0.6767677877589483,0.2549701972284806,0.1892068475851056,-7.279730918939621,0.05519049447371197,123.38077046050556,0.5082906133952891,52.48424744287653,11,04:21,26
